code,province,weight
B364,BZ,403
B365,BS,2161
B366,SO,1081
B368,VA,7791
B367,AV,315
B369,SV,13205
B374,AV,2364
B371,NA,37790
B375,BL,2024
B376,AT,1744
B377,AG,1327
B378,OT,4122
B380,VB,648
B381,EN,4493
B379,RC,914
B382,AQ,134
B384,CT,5258
B383,CI,2908
B387,PV,2412
B385,TP,6616
B388,VT,905
B391,MT,757
B390,PI,6396
B389,TN,1369
B392,PI,12476
B393,BG,5987
B394,BS,12915
B399,BO,13292
B398,MC,1809
B397,BZ,8004
B396,LC,5303
B395,BG,5378
B402,VR,7826
B406,FI,17703
B405,PC,2473
B404,TN,3689
B403,VI,11274
B400,TN,1114
B410,SP,1106
B413,LE,7084
B409,SV,1720
B415,AV,4630
B408,PR,2117
B416,SV,1471
B417,BI,135
B419,TN,1887
B424,CS,1358
B418,AT,1290
B423,LC,13904
B425,AT,1265
B426,CS,1237
B428,CT,38493
B427,AG,3615
B431,NO,2557
B430,PA,3986
B429,CL,63153
B432,RO,736
B434,BG,8347
B433,VI,2537
B436,BS,3569
B435,TO,7492
B437,SA,1501
B439,CR,1217
B440,PZ,1940
B441,VI,1325
B442,BG,4242
B444,BN,2657
B443,PZ,386
B445,CE,5678
B446,TR,1830
B447,PV,113
B448,MI,1209
B450,BS,8502
B452,NA,12133
B453,AL,525
B456,LO,654
B457,BI,355
B460,AG,2075
B455,LU,32368
B461,MI,6906
B462,TO,6086
B463,VB,1663
B466,IS,271
B465,BI,1173
B467,CN,620
B468,AN,7251
B469,AT,466
B470,AN,2574
B471,BG,621
B472,RM,457
B473,NO,10994
B474,MC,7007
B476,SA,7099
B479,PC,250
B481,RC,810
B477,CE,1982
B482,AL,809
B483,UD,1624
B484,CR,1268
B486,AG,6289
B490,GE,5342
B485,VI,11184
B489,CN,198
B491,AO,99
B492,SA,16886
B493,VE,7206
B494,CE,1556
B496,RM,11592
B498,CR,686
B497,GR,2450
B499,RE,5639
B506,LE,10389
B501,MB,2065
B504,PG,2409
B505,VC,239
B502,RE,5045
B500,CS,1765
B507,FI,46878
B511,VI,1698
B510,TO,104
B512,TO,1360
B509,LI,13167
B513,CO,1971
B514,TN,731
B515,TE,7176
B519,CB,49320
B516,RC,4537
B520,AG,9964
B521,TP,11898
B522,CB,626
B524,PD,14638
B525,TN,1514
B526,AQ,798
B528,CB,2512
B527,LT,606
B529,BZ,2668
B530,SO,955
B531,PD,2669
B533,PA,514
B532,PA,7511
B534,FM,1936
B535,PA,1293
B536,UD,7897
B537,CL,3052
B538,GE,2951
B539,MO,8824
B540,AO,393
B541,BN,1039
B542,BN,1580
B543,FR,1696
B544,CB,863
B546,VE,10541
B547,VI,815
B549,PZ,799
B551,GE,6956
B550,CB,8002
B554,VE,13174
B553,LI,4856
B555,SA,417
B556,PA,3294
B557,LU,2161
B559,IM,5622
B561,CT,5075
B562,MC,541
B563,PD,12056
B564,PD,5775
B565,NA,5335
B566,MO,3185
B567,PV,1060
B569,AQ,537
B570,BZ,5390
B572,BO,1849
B573,CN,5665
B574,BL,1115
B576,RM,4169
B577,TN,1518
B578,RO,2761
B579,TN,1915
B580,PZ,1292
B581,CE,5664
B582,RO,923
B584,FG,2802
B586,BI,7604
B588,TO,1262
B587,PV,1600
B589,PD,2377
B590,AV,1122
B592,TO,5633
B591,RC,405
B593,MI,12523
B594,AT,10465
B595,RI,393
B597,VT,3053
B598,PN,6403
B599,PV,110
B604,VT,5307
B605,TO,272
B603,SR,7125
B606,AQ,1004
B607,CS,738
B602,AG,35766
B608,SA,1043
B609,PG,4314
B610,VB,936
B613,PV,1354
B612,MN,4433
B615,VB,5162
B617,RC,722
B616,LE,1698
B619,BT,30091
B620,CH,1378
B618,BG,4479
B621,CN,80
B624,AQ,257
B626,PO,3120
B627,RI,2713
B629,AL,520
B628,TO,2561
B630,IS,780
B631,RI,1690
B632,RM,934
B633,AT,1004
B635,RM,346
B634,VA,4675
B636,PU,2220
B637,TO,563
B639,CO,39889
B640,TE,1920
B641,CO,5076
B642,VE,11658
B643,PC,4752
B644,SA,22835
B645,PA,11482
B646,GR,4105
B648,LU,46542
B647,PI,6346
B649,RM,10659
B650,CR,2150
B651,AQ,885
B653,CO,5524
B655,VV,1031
B656,AQ,5193
B658,AQ,684
B660,ME,3137
B661,BG,1239
B662,BL,8340
B663,VT,1710
B666,ME,13296
B664,BS,2453
B667,CE,10146
B669,LI,4046
B670,AR,5439
B671,MB,5211
B674,AV,3476
B675,CA,23573
B672,AQ,221
B676,BS,368
B677,AQ,527
B678,TV,4700
B681,PE,4015
B680,CR,432
B679,CR,576
B684,FI,7717
B682,IS,894
B685,LI,412
B687,RM,351
B686,CR,2347
B688,VT,6455
B689,BO,6812
B691,VT,5418
B690,LE,2450
B692,CN,104
B693,AR,1389
B694,VB,166
B695,ME,4484
B696,NA,7201
B697,TN,586
B698,BS,4667
B703,BG,8047
B701,AL,1872
B704,CE,1532
B707,AT,287
B706,AV,2418
B705,TO,2091
B708,BI,187
B712,GO,1711
B710,BG,3067
B715,CE,18610
B711,BS,9405
B709,VR,8394
B717,CZ,1840
B718,RC,528
B716,BA,15681
B719,CN,6818
B720,CN,3064
B722,PE,1933
B723,TN,1101
B725,AQ,88
B724,FG,6667
B727,AP,1085
B729,MB,17860
B726,GE,3773
B730,CO,1173
B731,BG,16230
B732,VA,2550
B733,TO,929
B734,IM,270
B735,VT,1988
B736,AL,1130
B738,CA,3721
B740,NA,2436
B739,MN,1259
B742,CO,2943
B741,PV,1507
B743,PZ,623
B744,TV,11206
B745,CI,28564
B748,SV,5588
B749,PD,1559
B752,VC,75
B754,VA,14855
B755,CN,1116
B756,RC,1591
B758,CZ,2113
B759,NA,22716
